Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes (BoW),0.7990726429675425,0.7978071619000926,0.7990726429675425,0.7983771961618729
Naive Bayes (TF-IDF),0.7822918966659307,0.759972683353201,0.7822918966659307,0.7002195917541233
Logistic Regression (BoW),0.8116582026937513,0.7798468748368075,0.8116582026937513,0.7893831103659317
Logistic Regression (TF-IDF),0.8136453963347318,0.7779679172402922,0.8136453963347318,0.7863898188995567
TextBlob (Rule-Based),0.6500331198940164,0.6188058772333379,0.6500331198940164,0.6306217407094056
